[Load] WikiText-2 ...
[Load] Raw lines: 44,836 in 11.76s
[Corpus] sentences=28,369, tokens=1,094,036, |V|=27,091
[Train] GloVe config: {
  "vector_size": 300,
  "window": 10,
  "min_count": 2,
  "epochs": 15,
  "x_max": 100.0,
  "alpha": 0.75,
  "lr": 0.05,
  "seed": 4213
}
[GloVe] Vocab size after min_count=2: 27,091
[GloVe] Co-occurrence entries: 10,390,591
[GloVe][epoch 1] step=100,000/10,390,591  avg_loss≈0.0287
[GloVe][epoch 1] step=9,200,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 1] step=9,300,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 1] step=9,400,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 1] step=9,500,000/10,390,591  avg_loss≈0.0219
[GloVe][epoch 1] step=9,600,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=9,700,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 1] step=9,800,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=9,900,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 1] step=10,000,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 1] step=10,100,000/10,390,591  avg_loss≈0.0230
[GloVe][epoch 1] step=10,200,000/10,390,591  avg_loss≈0.0219
[GloVe][epoch 1] step=10,300,000/10,390,591  avg_loss≈0.0225
[GloVe] epoch 1/15 done in 157.49s
[GloVe][epoch 2] step=100,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 2] step=200,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 2] step=300,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 2] step=400,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 2] step=500,000/10,390,591  avg_loss≈0.0218
[GloVe][epoch 2] step=600,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 2] step=700,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 2] step=800,000/10,390,591  avg_loss≈0.0226
[GloVe][epoch 2] step=900,000/10,390,591  avg_loss≈0.0216
[GloVe][epoch 2] step=1,000,000/10,390,591  avg_loss≈0.0219
[GloVe][epoch 2] step=1,100,000/10,390,591  avg_loss≈0.0231
[GloVe][epoch 2] step=1,200,000/10,390,591  avg_loss≈0.0229
[GloVe][epoch 2] step=1,300,000/10,390,591  avg_loss≈0.0219
[GloVe][epoch 2] step=1,400,000/10,390,591  avg_loss≈0.0217
[GloVe][epoch 2] step=1,500,000/10,390,591  avg_loss≈0.0217
[GloVe][epoch 2] step=1,600,000/10,390,591  avg_loss≈0.0213
[GloVe][epoch 2] step=1,700,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 2] step=1,800,000/10,390,591  avg_loss≈0.0222
[GloVe][epoch 2] step=1,900,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 2] step=2,000,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 2] step=2,100,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 2] step=2,200,000/10,390,591  avg_loss≈0.0216
[GloVe][epoch 2] step=2,300,000/10,390,591  avg_loss≈0.0209
[GloVe][epoch 2] step=2,400,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 2] step=2,500,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 2] step=2,600,000/10,390,591  avg_loss≈0.0216
[GloVe][epoch 2] step=2,700,000/10,390,591  avg_loss≈0.0208
[GloVe][epoch 2] step=2,800,000/10,390,591  avg_loss≈0.0222
[GloVe][epoch 2] step=2,900,000/10,390,591  avg_loss≈0.0216
[GloVe][epoch 2] step=3,000,000/10,390,591  avg_loss≈0.0226
[GloVe][epoch 2] step=3,100,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 2] step=3,200,000/10,390,591  avg_loss≈0.0219
[GloVe][epoch 2] step=3,300,000/10,390,591  avg_loss≈0.0214
[GloVe][epoch 2] step=3,400,000/10,390,591  avg_loss≈0.0220
[GloVe][epoch 2] step=3,500,000/10,390,591  avg_loss≈0.0212
[GloVe][epoch 2] step=3,600,000/10,390,591  avg_loss≈0.0210
[GloVe][epoch 2] step=3,700,000/10,390,591  avg_loss≈0.0212
[GloVe][epoch 2] step=3,800,000/10,390,591  avg_loss≈0.0215
[GloVe][epoch 2] step=3,900,000/10,390,591  avg_loss≈0.0217
[GloVe][epoch 2] step=4,000,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=4,100,000/10,390,591  avg_loss≈0.0217
[GloVe][epoch 2] step=4,200,000/10,390,591  avg_loss≈0.0209
[GloVe][epoch 2] step=4,300,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 2] step=4,400,000/10,390,591  avg_loss≈0.0212
[GloVe][epoch 2] step=4,500,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=4,600,000/10,390,591  avg_loss≈0.0208
[GloVe][epoch 2] step=4,700,000/10,390,591  avg_loss≈0.0216
[GloVe][epoch 2] step=4,800,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=4,900,000/10,390,591  avg_loss≈0.0204
[GloVe][epoch 2] step=5,000,000/10,390,591  avg_loss≈0.0213
[GloVe][epoch 2] step=5,100,000/10,390,591  avg_loss≈0.0209
[GloVe][epoch 2] step=5,200,000/10,390,591  avg_loss≈0.0209
[GloVe][epoch 2] step=5,300,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=5,400,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=5,500,000/10,390,591  avg_loss≈0.0212
[GloVe][epoch 2] step=5,600,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=5,700,000/10,390,591  avg_loss≈0.0215
[GloVe][epoch 2] step=5,800,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=5,900,000/10,390,591  avg_loss≈0.0213
[GloVe][epoch 2] step=6,000,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=6,100,000/10,390,591  avg_loss≈0.0208
[GloVe][epoch 2] step=6,200,000/10,390,591  avg_loss≈0.0202
[GloVe][epoch 2] step=6,300,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=6,400,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=6,500,000/10,390,591  avg_loss≈0.0209
[GloVe][epoch 2] step=6,600,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=6,700,000/10,390,591  avg_loss≈0.0211
[GloVe][epoch 2] step=6,800,000/10,390,591  avg_loss≈0.0202
[GloVe][epoch 2] step=6,900,000/10,390,591  avg_loss≈0.0205
[GloVe][epoch 2] step=7,000,000/10,390,591  avg_loss≈0.0206
[GloVe][epoch 2] step=7,100,000/10,390,591  avg_loss≈0.0199
[GloVe][epoch 2] step=7,200,000/10,390,591  avg_loss≈0.0208
[GloVe][epoch 2] step=7,300,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=7,400,000/10,390,591  avg_loss≈0.0203
[GloVe][epoch 2] step=7,500,000/10,390,591  avg_loss≈0.0206
[GloVe][epoch 2] step=7,600,000/10,390,591  avg_loss≈0.0202
[GloVe][epoch 2] step=7,700,000/10,390,591  avg_loss≈0.0207
[GloVe][epoch 2] step=7,800,000/10,390,591  avg_loss≈0.0201
[GloVe][epoch 2] step=7,900,000/10,390,591  avg_loss≈0.0201
[GloVe][epoch 2] step=8,000,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=8,100,000/10,390,591  avg_loss≈0.0203
[GloVe][epoch 2] step=8,200,000/10,390,591  avg_loss≈0.0201
[GloVe][epoch 2] step=8,300,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=8,400,000/10,390,591  avg_loss≈0.0201
[GloVe][epoch 2] step=8,500,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 2] step=8,600,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 2] step=8,700,000/10,390,591  avg_loss≈0.0206
[GloVe][epoch 2] step=8,800,000/10,390,591  avg_loss≈0.0205
[GloVe][epoch 2] step=8,900,000/10,390,591  avg_loss≈0.0201
[GloVe][epoch 2] step=9,000,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=9,100,000/10,390,591  avg_loss≈0.0205
[GloVe][epoch 2] step=9,200,000/10,390,591  avg_loss≈0.0199
[GloVe][epoch 2] step=9,300,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=9,400,000/10,390,591  avg_loss≈0.0199
[GloVe][epoch 2] step=9,500,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 2] step=9,600,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 2] step=9,700,000/10,390,591  avg_loss≈0.0198
[GloVe][epoch 2] step=9,800,000/10,390,591  avg_loss≈0.0203
[GloVe][epoch 2] step=9,900,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 2] step=10,000,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 2] step=10,100,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 2] step=10,200,000/10,390,591  avg_loss≈0.0198
[GloVe][epoch 2] step=10,300,000/10,390,591  avg_loss≈0.0200
[GloVe] epoch 2/15 done in 157.91s
[GloVe][epoch 3] step=100,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=200,000/10,390,591  avg_loss≈0.0196
[GloVe][epoch 3] step=300,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=400,000/10,390,591  avg_loss≈0.0204
[GloVe][epoch 3] step=500,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 3] step=600,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 3] step=700,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=800,000/10,390,591  avg_loss≈0.0198
[GloVe][epoch 3] step=900,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=1,000,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=1,100,000/10,390,591  avg_loss≈0.0196
[GloVe][epoch 3] step=1,200,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=1,300,000/10,390,591  avg_loss≈0.0196
[GloVe][epoch 3] step=1,400,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=1,500,000/10,390,591  avg_loss≈0.0196
[GloVe][epoch 3] step=1,600,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=1,700,000/10,390,591  avg_loss≈0.0196
[GloVe][epoch 3] step=1,800,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 3] step=1,900,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 3] step=2,000,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=2,100,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=2,200,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=2,300,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=2,400,000/10,390,591  avg_loss≈0.0200
[GloVe][epoch 3] step=2,500,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=2,600,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=2,700,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=2,800,000/10,390,591  avg_loss≈0.0202
[GloVe][epoch 3] step=2,900,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=3,000,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=3,100,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=3,200,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=3,300,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=3,400,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=3,500,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=3,600,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=3,700,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=3,800,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=3,900,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=4,000,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=4,100,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=4,200,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=4,300,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=4,400,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=4,500,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 3] step=4,600,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=4,700,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=4,800,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=4,900,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=5,000,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=5,100,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=5,200,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 3] step=5,300,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=5,400,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 3] step=5,500,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=5,600,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=5,700,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=5,800,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=5,900,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=6,000,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 3] step=6,100,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=6,200,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=6,300,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=6,400,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=6,500,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=6,600,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=6,700,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=6,800,000/10,390,591  avg_loss≈0.0185
[GloVe][epoch 3] step=6,900,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=7,000,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=7,100,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=7,200,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=7,300,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=7,400,000/10,390,591  avg_loss≈0.0198
[GloVe][epoch 3] step=7,500,000/10,390,591  avg_loss≈0.0199
[GloVe][epoch 3] step=7,600,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=7,700,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=7,800,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 3] step=7,900,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 3] step=8,000,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=8,100,000/10,390,591  avg_loss≈0.0198
[GloVe][epoch 3] step=8,200,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=8,300,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=8,400,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=8,500,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 3] step=8,600,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 3] step=8,700,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=8,800,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=8,900,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 3] step=9,000,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 3] step=9,100,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 3] step=9,200,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=9,300,000/10,390,591  avg_loss≈0.0194
[GloVe][epoch 3] step=9,400,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=9,500,000/10,390,591  avg_loss≈0.0178
[GloVe][epoch 3] step=9,600,000/10,390,591  avg_loss≈0.0197
[GloVe][epoch 3] step=9,700,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 3] step=9,800,000/10,390,591  avg_loss≈0.0184
[GloVe][epoch 3] step=9,900,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 3] step=10,000,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 3] step=10,100,000/10,390,591  avg_loss≈0.0195
[GloVe][epoch 3] step=10,200,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 3] step=10,300,000/10,390,591  avg_loss≈0.0187
[GloVe] epoch 3/15 done in 160.35s
[GloVe][epoch 4] step=100,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=200,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=300,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 4] step=400,000/10,390,591  avg_loss≈0.0180
[GloVe][epoch 4] step=500,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 4] step=600,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=700,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=800,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=900,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 4] step=1,000,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 4] step=1,100,000/10,390,591  avg_loss≈0.0184
[GloVe][epoch 4] step=1,200,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=1,300,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=1,400,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=1,500,000/10,390,591  avg_loss≈0.0192
[GloVe][epoch 4] step=1,600,000/10,390,591  avg_loss≈0.0183
[GloVe][epoch 4] step=1,700,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=1,800,000/10,390,591  avg_loss≈0.0188
[GloVe][epoch 4] step=1,900,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=2,000,000/10,390,591  avg_loss≈0.0191
[GloVe][epoch 4] step=2,100,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=2,200,000/10,390,591  avg_loss≈0.0183
[GloVe][epoch 4] step=2,300,000/10,390,591  avg_loss≈0.0185
[GloVe][epoch 4] step=2,400,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 4] step=2,500,000/10,390,591  avg_loss≈0.0193
[GloVe][epoch 4] step=2,600,000/10,390,591  avg_loss≈0.0184
[GloVe][epoch 4] step=2,700,000/10,390,591  avg_loss≈0.0181
[GloVe][epoch 4] step=2,800,000/10,390,591  avg_loss≈0.0184
[GloVe][epoch 4] step=2,900,000/10,390,591  avg_loss≈0.0185
[GloVe][epoch 4] step=3,000,000/10,390,591  avg_loss≈0.0185
[GloVe][epoch 4] step=3,100,000/10,390,591  avg_loss≈0.0179
[GloVe][epoch 4] step=3,200,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=3,300,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=3,400,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=3,500,000/10,390,591  avg_loss≈0.0183
[GloVe][epoch 4] step=3,600,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=3,700,000/10,390,591  avg_loss≈0.0187
[GloVe][epoch 4] step=3,800,000/10,390,591  avg_loss≈0.0186
[GloVe][epoch 4] step=3,900,000/10,390,591  avg_loss≈0.0183
[GloVe][epoch 4] step=4,000,000/10,390,591  avg_loss≈0.0183
[GloVe][epoch 4] step=4,100,000/10,390,591  avg_loss≈0.0182
[GloVe][epoch 4] step=4,200,000/10,390,591  avg_loss≈0.0189
[GloVe][epoch 4] step=4,300,000/10,390,591  avg_loss≈0.0184
[GloVe][epoch 4] step=4,400,000/10,390,591  avg_loss≈0.0175
[GloVe][epoch 4] step=4,500,000/10,390,591  avg_loss≈0.0180
[GloVe][epoch 4] step=4,600,000/10,390,591  avg_loss≈0.0190
[GloVe][epoch 4] step=4,700,000/10,390,591  avg_loss≈0.0187
